aX,aY,aZ,gX,gY,gZ
1.085,-0.615,1.224,1.892,-117.798,15.259
1.110,-0.537,1.381,0.427,-111.694,22.217
1.151,-0.350,1.495,-2.869,-103.333,29.175
1.192,-0.069,1.584,-6.592,-93.628,34.668
1.230,0.200,1.694,-11.169,-83.435,36.743
1.271,0.413,1.761,-14.404,-71.106,35.645
1.311,0.551,1.785,-14.648,-58.167,31.738
1.346,0.640,1.741,-13.489,-44.800,26.245
1.367,0.617,1.606,-11.902,-32.043,19.409
1.377,0.504,1.425,-8.972,-21.179,12.634
1.367,0.384,1.235,-4.517,-12.878,7.568
1.343,0.292,1.049,-1.465,-6.958,4.333
1.318,0.225,0.885,0.366,-3.784,2.075
1.289,0.185,0.750,1.343,-1.648,0.916
1.256,0.179,0.672,0.793,-1.038,0.305
1.222,0.229,0.653,-0.732,-1.343,-0.122
1.171,0.288,0.669,-1.465,-1.282,-1.160
1.118,0.302,0.673,-1.892,-0.671,-2.869
1.075,0.270,0.644,-0.854,0.793,-4.578
1.036,0.224,0.586,0.793,2.136,-5.981
0.999,0.166,0.534,2.380,2.625,-7.263
0.964,0.094,0.508,2.747,2.380,-8.179
0.930,0.012,0.509,2.625,1.648,-8.240
0.896,-0.068,0.511,2.747,1.404,-7.507
0.875,-0.135,0.489,2.808,1.465,-6.104
0.864,-0.175,0.460,3.113,1.099,-3.967
0.850,-0.182,0.466,2.991,-0.061,-1.282
0.834,-0.163,0.506,2.014,-1.404,1.709
0.822,-0.119,0.554,0.000,-1.709,4.761
0.810,-0.060,0.600,-2.319,-1.343,7.202
0.803,0.028,0.635,-4.272,-0.427,8.911
0.797,0.135,0.662,-5.798,0.488,9.583
0.791,0.237,0.707,-7.019,1.282,8.911
0.787,0.299,0.728,-7.507,2.991,6.958
0.791,0.342,0.720,-6.714,5.249,4.211
0.790,0.344,0.661,-4.883,7.385,1.160
0.792,0.289,0.583,-2.869,8.301,-2.319
0.793,0.198,0.520,-0.549,8.240,-4.944
0.791,0.102,0.482,2.197,7.141,-6.958
0.785,0.015,0.452,3.906,5.737,-7.690
0.777,-0.064,0.443,3.906,4.150,-7.690
0.771,-0.121,0.457,3.418,2.686,-6.592
0.768,-0.153,0.484,2.808,1.099,-5.066
0.764,-0.154,0.506,1.770,0.122,-3.235
0.761,-0.136,0.526,0.793,-0.244,-0.977
0.762,-0.097,0.541,-0.854,-0.305,0.977
0.763,-0.029,0.553,-2.808,-0.244,2.747
0.764,0.037,0.572,-3.906,0.000,3.906
0.767,0.104,0.604,-4.517,0.061,4.211
0.768,0.153,0.627,-3.784,0.366,3.601
0.773,0.193,0.628,-2.991,1.465,2.563
0.778,0.217,0.613,-2.380,2.319,1.099
0.782,0.205,0.593,-1.953,2.930,-0.732
0.783,0.154,0.560,-0.732,3.357,-2.563
0.786,0.080,0.514,0.549,3.479,-3.784
0.793,0.006,0.472,1.587,2.991,-4.272
0.798,-0.043,0.453,1.953,1.709,-3.906
0.794,-0.080,0.473,1.648,0.122,-2.930
0.790,-0.104,0.509,0.793,-0.977,-1.404
0.788,-0.101,0.533,0.183,-1.343,0.427
0.788,-0.068,0.538,-0.427,-1.221,2.380
0.792,-0.007,0.547,-1.465,-1.160,4.150
0.796,0.080,0.577,-2.747,-1.221,4.883
0.795,0.151,0.617,-4.272,-0.977,4.883
0.794,0.197,0.640,-4.272,-0.244,3.967
0.803,0.228,0.637,-3.845,1.038,2.441
0.806,0.231,0.621,-1.892,1.892,0.610
0.810,0.186,0.589,-0.244,2.441,-1.587
0.812,0.112,0.545,0.305,2.930,-2.930
0.814,0.047,0.509,0.610,2.991,-3.540
0.811,0.012,0.479,0.793,2.441,-3.540
0.808,-0.022,0.476,0.671,1.282,-3.235
0.805,-0.042,0.482,0.183,0.427,-2.380
0.804,-0.037,0.495,0.061,-0.366,-1.221
0.797,-0.034,0.512,-0.549,-1.160,-0.244
0.796,-0.024,0.521,-1.465,-1.709,0.793
0.796,-0.000,0.524,-1.892,-1.770,1.831
0.797,0.053,0.535,-2.563,-1.953,2.441
0.793,0.102,0.575,-3.052,-2.380,2.563
0.795,0.134,0.625,-3.174,-2.319,2.075
0.793,0.159,0.663,-2.808,-1.648,1.160
0.795,0.155,0.661,-1.831,-0.122,-0.183
0.800,0.125,0.630,-1.038,1.343,-1.343
0.802,0.083,0.595,-0.183,2.380,-2.380
0.801,0.024,0.571,0.366,2.625,-2.747
0.798,-0.028,0.535,0.244,2.991,-2.625
0.799,-0.056,0.511,-0.122,2.747,-1.831
0.799,-0.054,0.500,-0.549,2.441,-0.488
0.798,-0.047,0.489,-0.854,2.136,0.854
0.804,-0.019,0.478,-1.038,1.587,2.136
0.806,0.036,0.475,-0.854,0.549,2.991
0.806,0.083,0.497,-0.610,-0.549,3.357
0.807,0.105,0.527,-0.427,-1.465,3.052
0.804,0.116,0.556,-0.244,-1.953,2.136
0.804,0.125,0.576,0.122,-1.953,1.526
0.804,0.130,0.599,0.671,-1.953,0.732
0.801,0.134,0.634,1.038,-1.892,-0.122
0.794,0.119,0.661,1.587,-1.160,-1.282
0.791,0.083,0.665,1.892,0.000,-2.075
0.790,0.027,0.643,1.892,1.648,-2.686
