aX,aY,aZ,gX,gY,gZ
0.614,0.660,1.888,29.236,20.386,99.548
0.607,0.773,1.885,26.550,29.724,97.595
0.615,0.871,1.819,23.987,39.917,95.032
0.621,0.982,1.695,24.109,49.805,91.736
0.635,1.086,1.527,23.193,58.350,87.158
0.660,1.218,1.329,19.836,65.552,81.665
0.680,1.327,1.176,13.855,70.190,74.524
0.690,1.377,1.109,7.812,72.021,65.857
0.693,1.392,1.094,3.601,72.632,56.702
0.687,1.382,1.109,2.808,73.914,47.791
0.678,1.372,1.127,3.357,75.256,39.673
0.663,1.367,1.113,4.517,77.515,31.738
0.645,1.317,1.097,5.737,79.956,24.109
0.616,1.264,1.062,4.028,82.947,16.418
0.585,1.205,1.000,1.282,85.693,9.460
0.568,1.158,0.925,-2.197,88.684,3.174
0.544,1.134,0.855,-6.470,90.759,-2.441
0.526,1.117,0.778,-9.644,92.041,-7.202
0.510,1.084,0.677,-12.024,93.079,-12.634
0.501,1.048,0.592,-14.404,92.896,-17.944
0.483,1.052,0.523,-16.602,91.980,-22.766
0.470,1.093,0.470,-18.555,89.966,-27.710
0.462,1.135,0.409,-21.118,88.196,-33.325
0.441,1.140,0.373,-21.484,85.083,-39.734
0.415,1.084,0.335,-22.156,81.848,-46.631
0.399,1.011,0.262,-22.644,78.918,-53.162
0.380,0.924,0.176,-22.583,75.684,-58.838
0.360,0.821,0.109,-23.437,71.411,-64.270
0.337,0.709,0.064,-23.376,65.857,-68.726
0.314,0.605,0.023,-22.034,60.181,-71.838
0.295,0.478,0.005,-21.729,54.321,-74.036
0.276,0.381,-0.001,-21.606,47.913,-75.256
0.268,0.298,-0.011,-21.240,42.114,-75.439
0.264,0.222,-0.022,-20.874,36.377,-74.890
0.261,0.136,0.003,-21.057,30.518,-74.036
0.255,0.036,0.039,-21.912,25.085,-72.205
0.258,-0.044,0.041,-23.926,21.057,-69.763
0.264,-0.097,0.038,-25.452,17.029,-66.406
0.270,-0.111,0.028,-26.367,12.817,-62.378
0.278,-0.112,0.013,-26.489,8.240,-58.289
0.283,-0.119,0.014,-26.917,3.601,-54.504
0.291,-0.112,0.011,-27.466,-0.916,-50.964
0.295,-0.095,0.002,-27.588,-4.944,-47.485
0.302,-0.082,-0.005,-27.832,-9.094,-44.556
0.312,-0.070,0.005,-27.405,-14.282,-41.809
0.314,-0.070,0.038,-26.489,-19.775,-39.551
0.316,-0.091,0.064,-24.719,-24.841,-37.476
0.319,-0.166,0.101,-23.010,-29.602,-35.522
0.318,-0.260,0.137,-22.095,-33.997,-33.142
0.323,-0.335,0.174,-20.386,-38.269,-29.602
0.329,-0.373,0.203,-18.066,-42.236,-24.902
0.335,-0.402,0.224,-16.052,-45.898,-19.714
0.340,-0.442,0.253,-14.465,-49.438,-14.404
0.346,-0.476,0.291,-13.672,-52.734,-8.789
0.361,-0.461,0.344,-13.428,-55.664,-3.174
0.374,-0.398,0.427,-14.465,-58.655,2.563
0.391,-0.262,0.515,-14.648,-60.791,8.301
0.410,-0.108,0.589,-13.977,-61.829,12.817
0.430,0.002,0.641,-13.245,-62.134,15.259
0.445,0.063,0.658,-11.658,-61.890,16.357
0.461,0.124,0.657,-8.789,-61.523,16.907
0.478,0.173,0.630,-6.042,-61.829,16.907
0.481,0.161,0.594,-3.357,-62.622,16.052
0.486,0.074,0.594,-1.343,-64.270,15.137
0.491,-0.053,0.640,0.671,-66.467,15.137
0.499,-0.156,0.734,2.625,-68.542,16.602
0.510,-0.176,0.847,3.235,-69.336,19.836
0.526,-0.145,0.951,3.174,-68.848,23.804
0.559,-0.032,1.052,2.258,-67.078,27.527
0.587,0.154,1.158,2.747,-64.331,30.640
0.619,0.328,1.234,3.296,-60.486,31.799
0.644,0.441,1.251,3.967,-55.237,30.640
0.680,0.482,1.218,5.005,-49.744,28.259
0.690,0.487,1.118,4.333,-44.678,25.391
0.714,0.434,1.064,5.066,-41.626,22.034
0.717,0.394,1.055,5.371,-40.161,19.775
0.723,0.316,1.047,5.371,-38.452,18.005
0.733,0.269,1.026,5.676,-36.804,17.395
0.736,0.271,1.043,5.554,-35.767,17.334
0.735,0.273,1.090,5.432,-35.156,17.517
0.736,0.283,1.122,7.629,-33.569,17.944
0.730,0.344,1.129,10.742,-31.189,18.555
0.732,0.389,1.135,12.268,-29.175,18.494
0.727,0.429,1.166,13.184,-27.039,17.761
0.722,0.501,1.197,13.611,-24.292,16.846
0.717,0.583,1.217,12.695,-20.752,15.381
0.717,0.695,1.221,11.536,-16.663,13.306
0.713,0.773,1.219,10.254,-12.695,9.827
0.700,0.785,1.213,8.240,-8.362,4.822
0.686,0.743,1.169,6.775,-4.700,-0.610
0.675,0.661,1.110,7.446,-1.465,-4.517
0.653,0.565,1.038,7.874,1.465,-7.629
0.636,0.452,0.969,8.484,3.784,-9.949
0.620,0.352,0.907,8.545,5.249,-11.169
0.606,0.274,0.856,7.996,6.104,-11.353
0.593,0.239,0.826,7.568,6.287,-10.559
0.580,0.232,0.792,8.240,6.226,-9.033
0.570,0.232,0.757,9.094,6.104,-7.874
0.560,0.238,0.733,8.606,5.737,-6.775
0.553,0.264,0.708,7.202,5.310,-6.042
0.538,0.276,0.707,5.310,4.822,-5.493
0.526,0.273,0.690,4.150,4.456,-5.249
0.519,0.293,0.704,3.967,3.418,-5.005
0.511,0.334,0.721,3.662,2.625,-4.883
0.507,0.346,0.720,3.967,2.075,-5.127
0.501,0.320,0.712,4.333,1.465,-5.737
0.495,0.265,0.722,4.456,0.549,-6.409
0.485,0.203,0.732,4.028,-0.183,-6.592
0.478,0.144,0.742,4.028,-0.610,-6.042
0.473,0.107,0.753,4.089,-1.221,-5.066
0.471,0.087,0.774,4.028,-1.648,-3.723
0.466,0.073,0.805,3.540,-1.892,-2.197
0.463,0.074,0.843,2.747,-1.465,-0.183
0.468,0.135,0.873,1.709,-0.793,1.892
0.476,0.230,0.870,0.610,0.793,3.418
0.615,0.689,1.370,22.034,37.720,71.777
0.617,0.765,1.390,20.264,42.908,70.801
0.616,0.842,1.382,18.127,48.645,69.397
0.604,0.891,1.398,15.137,54.260,66.772
0.599,0.923,1.364,11.169,60.486,63.416
0.596,0.932,1.301,8.362,66.711,59.937
0.595,0.957,1.229,5.798,71.838,56.335
0.593,0.986,1.156,4.211,76.294,52.795
0.598,1.014,1.077,2.869,79.956,48.950
0.594,0.997,1.011,1.099,83.008,44.800
0.595,0.968,0.976,-1.282,85.083,40.710
0.592,0.986,0.921,-3.723,87.341,37.231
0.592,1.015,0.862,-5.371,89.294,33.936
0.589,1.041,0.786,-6.836,90.881,30.334
0.586,1.075,0.673,-7.019,92.224,26.794
0.589,1.117,0.558,-8.179,92.407,22.888
0.594,1.197,0.494,-10.498,90.881,18.372
0.588,1.272,0.486,-12.695,88.196,13.062
0.588,1.331,0.531,-14.832,85.815,6.653
0.577,1.349,0.601,-16.663,83.801,-0.488
0.563,1.312,0.658,-17.700,83.008,-7.141
0.548,1.238,0.668,-18.127,83.435,-13.794
0.534,1.166,0.623,-18.188,84.351,-19.714
0.522,1.130,0.518,-17.334,85.083,-24.475
0.512,1.124,0.409,-17.517,84.839,-28.992
0.504,1.123,0.326,-19.226,82.642,-33.508
0.498,1.123,0.271,-20.630,80.017,-38.147
0.481,1.133,0.235,-21.179,76.355,-43.152
0.468,1.126,0.228,-22.095,72.632,-48.279
0.444,1.119,0.234,-22.705,68.970,-53.650
0.419,1.065,0.223,-22.339,65.674,-59.143
0.395,0.961,0.212,-21.362,62.317,-64.514
0.374,0.870,0.204,-21.423,59.265,-69.092
0.352,0.829,0.171,-21.729,56.458,-72.449
0.339,0.820,0.110,-22.278,53.894,-75.195
0.321,0.807,0.047,-22.278,50.537,-78.308
0.301,0.755,-0.012,-21.729,46.692,-81.726
0.288,0.688,-0.053,-20.630,41.992,-85.022
0.268,0.588,-0.080,-19.531,36.987,-87.708
0.252,0.442,-0.083,-19.104,31.921,-89.905
0.234,0.291,-0.073,-19.836,26.855,-90.820
0.225,0.170,-0.070,-20.935,22.400,-90.027
0.226,0.076,-0.083,-21.118,18.311,-87.891
0.227,-0.011,-0.101,-20.996,14.282,-84.900
0.226,-0.092,-0.137,-21.973,10.376,-81.238
0.229,-0.143,-0.169,-22.827,5.981,-77.026
0.235,-0.158,-0.207,-22.888,1.343,-72.144
0.249,-0.137,-0.237,-22.949,-3.723,-66.895
0.257,-0.118,-0.238,-23.804,-8.667,-62.622
0.273,-0.103,-0.219,-24.597,-14.282,-58.960
0.276,-0.101,-0.169,-25.330,-19.958,-55.664
0.279,-0.120,-0.112,-26.306,-25.208,-52.979
0.287,-0.150,-0.071,-25.574,-29.602,-50.110
0.295,-0.193,-0.027,-24.719,-33.936,-47.302
0.294,-0.263,-0.004,-23.193,-37.903,-44.250
0.295,-0.355,-0.003,-21.118,-41.626,-40.649
0.300,-0.442,-0.006,-18.799,-45.227,-36.255
0.302,-0.548,0.012,-17.151,-49.744,-30.945
0.307,-0.644,0.069,-17.761,-54.321,-24.475
0.323,-0.661,0.165,-18.860,-58.289,-16.418
0.337,-0.630,0.268,-20.752,-61.096,-8.240
0.354,-0.588,0.359,-22.156,-62.866,-1.038
0.374,-0.501,0.433,-21.973,-63.843,6.409
0.401,-0.356,0.482,-21.545,-64.087,13.245
0.427,-0.205,0.502,-22.705,-63.965,18.372
0.456,-0.072,0.550,-23.621,-64.087,22.095
0.485,0.038,0.610,-23.865,-64.148,24.475
0.509,0.135,0.688,-23.621,-63.660,25.330
0.531,0.233,0.755,-23.926,-62.439,25.330
0.552,0.290,0.817,-23.560,-60.486,24.414
0.566,0.279,0.785,-21.729,-57.617,22.888
0.590,0.230,0.698,-18.372,-55.359,21.484
0.616,0.190,0.659,-14.587,-55.054,20.996
0.632,0.172,0.688,-12.268,-55.908,20.752
0.646,0.160,0.724,-9.521,-56.458,21.118
0.656,0.102,0.773,-6.226,-56.885,21.423
0.666,0.083,0.811,-3.174,-56.702,22.522
0.664,0.149,0.836,-1.892,-55.786,24.292
0.678,0.236,0.824,-2.686,-54.382,25.452
0.686,0.312,0.828,-4.700,-53.223,25.330
0.698,0.397,0.854,-5.371,-52.734,24.597
0.696,0.394,0.854,-2.319,-52.185,23.315
0.704,0.502,0.778,0.183,-51.270,21.912
0.695,0.475,0.734,2.136,-50.842,18.616
0.695,0.385,0.760,7.446,-52.490,16.296
0.703,0.359,0.739,13.123,-53.345,14.587
0.717,0.254,0.740,15.869,-54.016,13.000
0.709,0.112,0.789,17.029,-55.176,11.841
0.701,0.019,0.834,18.188,-55.603,12.817
0.691,-0.046,0.837,19.348,-55.054,15.076
0.682,-0.052,0.877,19.897,-54.749,18.250
0.674,0.042,0.911,20.203,-54.138,22.156
0.686,0.195,0.935,21.240,-53.345,25.146
0.689,0.254,0.969,22.644,-52.612,26.428
0.695,0.266,1.012,23.193,-51.514,26.855
0.702,0.310,1.011,22.156,-49.194,27.161
0.722,0.416,1.006,22.095,-46.875,27.527
0.728,0.482,1.052,21.240,-45.471,26.611
0.724,0.519,1.118,20.569,-43.396,24.658
0.731,0.517,1.137,20.935,-40.222,22.583
0.730,0.495,1.156,21.240,-36.743,20.691
0.734,0.491,1.161,20.752,-32.959,19.165
0.737,0.514,1.157,20.203,-29.114,18.005
0.737,0.534,1.157,17.517,-25.024,16.541
0.741,0.611,1.161,15.320,-21.118,14.893
0.737,0.692,1.121,13.733,-17.151,13.062
0.731,0.727,1.059,12.390,-13.123,9.949
0.725,0.747,1.011,11.902,-10.376,6.287
0.719,0.743,0.963,11.780,-8.545,2.258
0.712,0.701,0.879,12.390,-6.897,-1.648
0.700,0.605,0.812,12.939,-6.165,-4.883
0.682,0.500,0.811,14.221,-7.019,-7.202
0.660,0.411,0.841,14.893,-7.874,-8.545
0.642,0.312,0.835,16.663,-7.812,-9.033
0.630,0.224,0.815,17.944,-7.263,-8.606
0.617,0.153,0.815,17.944,-7.263,-7.568
0.603,0.123,0.859,16.785,-7.507,-5.493
0.588,0.154,0.906,14.771,-6.958,-3.296
0.580,0.222,0.954,12.573,-5.798,-1.038
0.561,-0.305,1.673,24.292,-47.424,86.060
0.566,-0.219,1.695,25.452,-40.710,91.553
0.575,-0.068,1.672,26.184,-33.569,95.947
0.572,-0.026,1.674,24.963,-26.306,98.999
0.588,0.067,1.654,28.381,-19.836,101.624
0.587,0.167,1.659,27.893,-13.794,103.271
