aX,aY,aZ,gX,gY,gZ
-0.383,-1.830,-0.950,18.433,-110.107,77.209
-0.531,-1.978,-0.920,31.982,-126.038,96.008
-0.688,-2.298,-0.887,48.462,-142.212,115.601
-0.861,-2.427,-0.724,66.467,-159.851,138.000
-1.048,-2.470,-0.542,79.590,-176.270,163.025
-1.219,-2.373,-0.298,86.731,-190.674,187.744
-1.368,-2.125,-0.053,86.060,-200.806,211.487
-1.511,-1.795,0.157,81.726,-208.374,232.300
-1.622,-1.357,0.391,75.073,-213.623,249.756
-1.664,-0.788,0.643,69.153,-217.285,264.648
-1.632,-0.054,0.979,63.354,-219.666,275.024
-1.498,0.704,1.374,56.763,-219.727,278.320
-1.280,1.300,1.779,51.514,-215.332,271.545
-1.072,1.628,2.099,53.711,-209.106,259.949
-0.799,1.916,2.346,55.664,-194.336,246.338
-0.439,2.148,2.645,59.998,-182.800,233.582
-0.364,2.352,2.865,67.993,-167.236,218.811
-0.058,2.720,3.036,65.002,-148.682,205.688
0.143,2.947,2.888,58.044,-124.817,187.500
0.349,3.120,2.613,50.110,-101.379,168.579
0.514,3.255,2.403,38.330,-86.792,149.414
0.656,3.362,2.313,23.071,-76.904,129.639
0.773,3.442,2.267,10.071,-67.749,110.718
0.839,3.314,2.220,2.136,-59.387,91.370
0.915,3.454,2.430,-3.113,-52.856,74.280
0.973,3.432,2.594,-10.010,-43.884,56.824
0.917,3.362,2.591,-9.888,-30.518,40.955
0.967,3.453,2.623,-11.780,-14.404,27.161
0.923,3.586,2.480,-19.592,0.671,11.902
0.860,3.856,2.375,-26.794,15.320,-3.906
0.759,4.000,2.229,-34.241,30.029,-21.851
0.617,4.000,2.001,-42.908,44.861,-45.837
0.451,4.000,1.734,-47.302,56.152,-77.637
0.238,4.000,1.493,-58.533,63.416,-116.455
0.014,4.000,1.198,-59.082,68.909,-155.273
-0.214,3.644,0.969,-46.326,70.068,-192.749
-0.457,2.975,0.818,-43.518,68.542,-224.731
-0.661,2.398,0.710,-42.480,66.040,-248.596
-0.841,1.845,0.657,-40.283,62.683,-265.259
-0.991,1.264,0.753,-43.457,57.922,-278.381
-1.104,0.713,0.926,-50.293,53.772,-285.889
-1.186,0.173,1.059,-60.425,54.260,-288.574
-1.208,-0.327,1.182,-65.979,55.847,-285.889
-1.191,-0.745,1.246,-71.106,61.035,-277.771
-1.131,-1.033,1.165,-76.477,68.604,-265.381
-1.074,-1.139,0.984,-73.914,75.867,-249.573
-0.962,-1.074,0.778,-72.327,80.994,-233.765
-0.948,-1.230,0.526,-70.862,83.618,-222.107
-0.890,-1.236,0.324,-69.458,83.923,-209.778
-0.812,-1.564,0.095,-74.463,82.520,-199.524
-0.759,-1.854,-0.126,-69.824,77.942,-186.768
-0.674,-2.098,-0.411,-68.176,72.571,-170.288
-0.579,-2.389,-0.709,-61.890,64.026,-151.367
-0.470,-2.681,-0.960,-52.002,51.880,-130.615
-0.416,-2.927,-1.087,-43.945,36.011,-107.605
-0.399,-3.255,-1.149,-33.020,15.930,-81.360
-0.386,-3.568,-1.272,-20.386,-0.793,-51.819
-0.386,-3.720,-1.377,-8.118,-17.517,-19.165
-0.478,-3.902,-1.501,7.202,-36.926,16.907
-0.550,-3.688,-1.391,21.362,-62.073,57.007
-0.674,-3.411,-1.215,31.067,-87.769,95.459
-0.807,-3.225,-0.950,37.964,-108.521,127.136
-0.938,-3.031,-0.744,45.349,-124.146,157.288
-1.087,-2.683,-0.558,54.932,-138.184,186.279
-1.218,-2.207,-0.330,64.453,-151.306,213.013
-1.286,-1.641,-0.051,72.327,-164.368,235.291
-1.315,-1.060,0.354,76.050,-176.331,251.038
-1.239,-0.365,0.873,73.608,-187.134,262.146
-1.127,0.308,1.609,70.618,-200.562,267.944
-0.975,1.095,2.401,67.932,-198.669,267.822
-0.768,1.754,3.040,60.242,-181.091,260.803
-0.507,2.509,3.707,52.979,-165.466,249.023
-0.278,3.199,3.984,41.504,-126.404,230.286
0.024,3.861,4.000,45.898,-86.060,208.008
0.273,4.000,3.881,43.701,-49.622,176.025
0.578,4.000,3.314,19.592,-11.047,128.906
0.747,3.541,2.549,15.381,18.799,79.651
0.873,3.036,1.922,31.982,34.180,47.119
0.918,2.690,1.492,40.466,41.443,24.109
0.947,2.473,1.190,41.260,47.485,6.226
0.940,2.356,1.070,35.278,45.959,-7.690
0.926,2.222,1.071,22.583,37.109,-21.301
0.915,2.060,1.092,8.423,37.048,-35.950
0.887,1.858,1.027,0.854,39.185,-49.072
0.850,1.562,0.891,-3.235,42.664,-61.096
0.846,1.280,0.655,-2.808,45.349,-69.519
0.859,1.123,0.336,2.197,45.593,-72.876
0.840,0.972,0.058,9.949,38.391,-73.975
0.824,0.935,-0.124,18.005,26.733,-73.669
0.799,0.804,-0.065,25.085,9.094,-73.608
0.742,0.604,0.164,24.292,-5.066,-74.524
0.710,0.453,0.474,18.921,-14.832,-72.815
0.665,0.432,0.764,15.686,-19.836,-68.054
0.620,0.488,0.979,14.954,-19.775,-62.927
0.600,0.515,1.098,11.902,-16.052,-59.326
0.569,0.462,1.174,9.155,-11.169,-56.824
0.554,0.364,1.168,9.277,-5.981,-54.138
0.557,0.237,1.075,9.521,-0.305,-50.476
0.559,0.121,0.946,7.141,5.432,-45.654
0.528,0.063,0.849,4.639,8.911,-39.429
0.569,-0.005,0.812,1.404,10.376,-32.776
0.553,-0.047,0.759,0.183,12.085,-25.879
0.552,-0.062,0.675,-0.732,13.550,-18.188
0.542,-0.058,0.593,-0.122,14.221,-10.559
0.542,-0.044,0.541,0.488,13.367,-3.967
0.543,0.035,0.525,0.000,11.597,2.502
0.531,0.148,0.568,-2.258,9.766,8.362
0.536,0.326,0.617,-2.380,8.118,12.817
0.531,0.439,0.595,-4.333,8.362,14.526
0.539,0.525,0.575,-4.883,7.690,14.526
0.539,0.604,0.558,-5.798,6.531,13.367
0.536,0.614,0.591,-7.324,4.639,11.108
0.536,0.600,0.668,-8.423,2.686,8.545
0.532,0.594,0.700,-8.484,2.441,6.165
0.531,0.576,0.677,-7.141,3.113,3.845
0.534,0.529,0.615,-4.761,3.235,1.770
0.543,0.460,0.536,-1.953,2.197,0.000
0.550,0.395,0.492,1.404,0.305,-1.038
0.547,0.356,0.496,3.479,-2.808,-1.587
-0.218,-1.786,-1.073,1.221,-61.890,40.771
-0.357,-1.694,-0.683,1.831,-79.712,55.359
